`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
146,Bundi,Rajasthan,23.20825,108.43075,17.1365,0,17.1365,1.68875,34.09875,0,2.77725,20.00625,0.24475,23.33575,0.99125,8.60975,49.03875,0,0.0025,1.18775,0.00075,37.20275,98.0775,5.894,0.02975,0.396,1.7805,2.1755,0.1405,0.06975,14.902,25.4368,75.7361
147,Chittorgarh,Rajasthan,1.41025,99.7935,24.0845,0,24.0845,0.05475,141.377,0,5.814,31.56575,0.632,34.608,34.19175,8.38525,40.405,0,0.0065,2.1795,0.01925,76.90275,157.23275,2.08075,6.287,0.161,1.65125,1.81125,0.02775,0.683,17.95825,24.7172,74.4718
148,Churu,Rajasthan,0.025,12.88675,0.02075,0,0.02075,403.66975,0,0,3.44775,181.86425,0,334.171,13.19325,2.49975,18.80975,0,0.0155,0.00525,0.00025,0,33.9715,0,0.204,0.05575,0.3225,0.378,0.001,0.114,314.27575,28.2048,74.6913
149,Dungarpur,Rajasthan,25.77825,31.261,1.391,0,1.39125,0.218,61.7745,0,1.8565,14.1025,1.761,17.25175,0.07925,0.91575,0.4865,0,0.11,0.217,0,3.0495,4.628,0.4815,0.56225,0.01925,0.205,0.225,0.003,0.058,3.2185,23.8539,73.7087
150,Ganganagar,Rajasthan,26,378.1,0.98925,0,0.98925,71.58925,0.3025,0,29.3235,350.36825,0.417,61.172,8.978,3.26875,267.26125,0,2.3125,0.0875,0.112,0.00625,293.42075,2.99925,319.6565,5.0785,3.12525,8.20325,0.346,0.13575,419.56975,25.9061,76.4815
151,Jaipur,Rajasthan,0.01175,219.55875,36.064,0,36.064,344.0095,12.07025,0,60.93625,81.97975,1.00025,79.92225,50.771,12.54525,147.87425,0,0.04075,0.09275,0.00075,0.002,215.68475,0.19675,0.28125,2.40925,14.97525,17.3835,0.04975,2.26575,80.69725,26.9155,75.8190
152,Jaisalmer,Rajasthan,0.025,6.89725,2.90075,0,2.90075,124.1445,0.00225,0,0.0385,33.00225,0.002,5.77175,4.8895,0.96525,27.84325,0,1.15825,0.01025,0,0,33.74025,0.00025,0.13875,0.04675,0.07875,0.1255,0.0015,0.0225,221.63975,27.0264,70.7775
153,Jalore,Rajasthan,0.005,38.7365,3.53675,0.00775,3.54375,321.18625,0.249,0,1.0345,6.34425,0.10525,73.9485,2.6975,24.62075,81.131,0,27.81175,0.005,0.001,0,137.536,0,1.34625,0.34425,1.54525,1.89,0.04125,0.30575,85.41525,25.2093,72.3179
154,Jhalawar,Rajasthan,1.202,57.20775,47.22175,0,47.22175,1.01225,50.341,0,0.50575,32.8445,2.06775,29.30625,5.56625,2.857,24.087,0,0.001,3.4645,1.654,130.75425,157.111,0.3755,3.08275,4.4685,1.51825,5.985,0.0845,0.525,3.01025,24.3132,76.5221
155,Jhunjhunu,Rajasthan,0.0115,52.56475,0.0964999999999999,0,0.0964999999999999,250.284,0,0,9.4305,60.98075,0.00625,66.339,1.3445,0.11725,62.522,0,0.0415,0.00775,0.00025,0,62.917,0,0.623,0.1345,2.48325,2.617,0.0035,1.74475,71.37275,28.0799,75.5424
